team,playerName,position,salary,birth,birthYear,height,weight,elementarySchool,middleSchool,highSchool,nationality,teamCareer,joinYear,joinTeam
두산,유창준,투수,2600,1989-07-25,1989,184,105,양정초,부산중,일본 사쿠신가쿠인고,한국,,2013,두산
두산,유희관,투수,10000,1986-06-01,1986,180,88,방배초,이수중,장충고,한국,중앙대-두산-상무,2009,두산
NC,윤강민,투수,2400,1990-10-08,1990,183,88,우암초,천안북중,북일고,한국,인하대,2013,NC
한화,윤규진,투수,8000,1984-07-28,1984,185,90,신흥초,충남중,대전고,한국,(대전대),,
한화,윤근영,투수,5700,1986-05-07,1986,185,89,대전유천초,한밭중,대전고,한국,,2005,한화
한화,윤기호,투수,2600,1988-07-28,1988,184,83,우암초,청주중,북일고,한국,한화-상무,,
SK,윤길현,투수,14500,1983-09-23,1983,185,86,본리초,대구중,대구고,한국,SK-상무,2002,SK
두산,윤명준,투수,5700,1989-06-18,1989,178,78,광주서석초,광주동성중,광주동성고,한국,고려대,2012,두산
SK,윤석주,투수,2400,1990-04-27,1990,181,72,언북초,언북중,야탑고,한국,SK-상무,,
삼성,윤성환,투수,45000,1981-10-08,1981,183,88,감천초,대신중,부산상고,한국,동의대,2004,삼성
넥센,윤영삼,투수,2500,1992-07-14,1992,181,87,이수초,이수중,장충고,한국,삼성-NC,2011,삼성
LG,윤지웅,투수,3500,1988-03-11,1988,180,75,대연초,부산중,부산공고,한국,동의대-넥센-LG-경찰,,
NC,윤형배,투수,2400,1994-07-15,1994,183,99,온양온천초,온양중,북일고,한국,,,
SK,윤희상,투수,16000,1985-05-17,1985,193,88,구리초(구리리틀),인창중,선린인터넷고,한국,,2004,SK
KIA,이대환,투수,4000,1979-05-28,1979,186,93,춘천초,춘천중,춘천고,한국,동국대-현대-상무-우리-히어로즈-넥센-LG,2002,현대
한화,이동걸,투수,3000,1983-08-12,1983,185,95,언북초,휘문중,휘문고,한국,동국대-삼성,2007,삼성
LG,이동학,투수,2700,1981-05-06,1981,184,92,회원초,마산동중,마산고,한국,현대-상무-현대-우리-히어로즈-넥센,2000,현대
LG,이동현,투수,17000,1983-01-12,1983,192,98,영일초,영남중,경기고,한국,,2001,LG
롯데,이명우,투수,13000,1982-06-03,1982,185,98,연동초,개성중,부산공고,한국,,2002,롯데
NC,이민호,투수,5800,1993-08-11,1993,185,90,수영초,부산중,부산고,한국,,2012,NC
LG,이범준,투수,3100,1989-07-15,1989,188,88,사당초,이수중,성남서고,한국,(대경대)-LG-상무,,
넥센,이상민,투수,2600,1990-11-04,1990,180,78,남도초(수성리틀),대구중,경북고,한국,동의대-NC,,
SK,이상백,투수,2500,1987-03-10,1987,180,92,사파초,창원신월중,마산고,한국,경성대,,
LG,이상열,투수,15000,1977-04-20,1977,185,73,천안남산초,천안북중,북일고,한국,한화-현대-우리-히어로즈,1996,한화
롯데,이상화,투수,3500,1988-03-01,1988,188,95,양정초,경남중,경남고,한국,,2007,롯데
SK,이석재,투수,2400,1990-01-18,1990,178,75,교동초,원주중,원주고,한국,경남대,2013,SK
NC,이성민,투수,4200,1990-03-30,1990,185,85,남도초,대구중,경북고,한국,영남대,2013,NC
삼성,이수민,투수,2400,1995-09-11,1995,180,94,도산초,구미중,상원고,한국,,2014,삼성
NC,이승호,투수,7000,1976-08-23,1976,189,90,강남초,강남중,선린상고,한국,단국대-LG,1999,LG
SK,이승호,투수,35000,1981-09-09,1981,176,86,군산남초,군산남중,군산상고,한국,SK-롯데,2000,SK
삼성,이영욱,투수,6200,1980-08-13,1980,191,94,칠성초,경운중,대구상고,한국,홍익대-SK,2003,SK
LG,이영재,투수,2400,1992-08-04,1992,183,88,온양온천초,온양중,북일고,한국,LG-경찰,,
두산,이용찬,투수,14500,1989-01-02,1989,185,85,신원초,양천중,장충고,한국,,2007,두산
롯데,이용훈,투수,7000,1977-08-14,1977,183,83,동삼초,경남중,부산공고,한국,경성대-삼성-SK,2000,삼성
삼성,이우선,투수,5000,1983-04-19,1983,179,83,동명초,대헌중,안산공고,한국,성균관대-상무,2007,상무
롯데,이웅한,투수,2400,1988-08-19,1988,185,87,합덕초,천안북중,공주고,한국,롯데-경찰,2007,롯데
롯데,이인복,투수,2400,1991-06-18,1991,186,88,희망대초,성일중,서울고,한국,연세대,2014,롯데
롯데,이재곤,투수,4900,1988-11-24,1988,191,96,사직초,사직중,경남고,한국,롯데-경찰,2007,롯데
SK,이재영,투수,12000,1979-06-13,1979,187,90,방배초,선린중,선린인터넷고,한국,영남대-두산-LG,2002,두산
두산,이재우,투수,12500,1980-02-09,1980,183,82,고명초,건대부중,휘문고,한국,탐라대,2001,두산
NC,이재학,투수,12500,1990-10-04,1990,181,80,옥산초,경복중,대구고,한국,두산,2010,두산
롯데,이정민,투수,3800,1979-03-02,1979,183,83,동삼초,경남중,경남고,한국,동아대-롯데-상무,2002,롯데
두산,이정호,투수,2900,1992-04-11,1992,184,88,수창초,무등중,광주제일고,한국,,2011,두산
넥센,이정훈,투수,10000,1977-10-09,1977,182,95,하단초,경남중,동래고,한국,롯데,1997,롯데
롯데,이지모,투수,2600,1986-10-30,1986,183,88,중앙초(부산동래마린스리틀),대동중,부산고,한국,(영남사이버대),2005,롯데
SK,이창욱,투수,2400,1984-08-28,1984,181,80,군산남초,군산남중,군산상고,한국,고려대,,
LG,이창호,투수,2400,1987-03-09,1987,183,83,부곡초,강남중,덕수고,한국,단국대-상무-NC,2012,NC
한화,이태양,투수,3000,1990-07-03,1990,192,97,여수서초,여수중,효천고,한국,,2010,한화
NC,이태양,투수,4400,1993-01-28,1993,183,82,내덕초,청주중,청주고,한국,넥센,2011,넥센
SK,이한진,투수,3500,1983-12-20,1983,191,95,서림초,대헌중,인천고,한국,건국대,2006,SK
삼성,이현동,투수,2400,1993-03-27,1993,183,83,화정초,충장중,광주제일고,한국,,2012,삼성
두산,이현승,투수,11000,1983-10-11,1983,179,87,서화초,대헌중,동산고,한국,인하대-현대-히어로즈-두산-상무,2008,히어로즈
NC,이혜천,투수,10000,1979-03-12,1979,184,90,대연초,대천중,부산상고,한국,OB-두산,1998,OB
SK,임경완,투수,20000,1975-12-28,1975,186,95,하단초,경남중,경남고,한국,인하대-롯데,1998,롯데
한화,임기영,투수,3000,1993-04-16,1993,184,75,대구수창초,경운중,경북고,한국,,2012,한화
LG,임정우,투수,6500,1991-04-02,1991,183,77,도곡초,영동중,서울고,한국,SK,2011,SK
NC,임정호,투수,2400,1990-04-16,1990,188,85,성동초,잠신중,신일고,한국,성균관대,2013,NC
KIA,임준섭,투수,6000,1989-07-16,1989,181,88,대연초,부산중,개성고,한국,경성대,2013,KIA
KIA,임준혁,투수,4300,1984-10-09,1984,182,96,숭의초,동산중,동산고,한국,KIA-상무,2003,KIA
LG,임지섭,투수,2400,1995-09-06,1995,190,94,포철서초,창원신월중,제주고,한국,,2014,LG
NC,임창민,투수,6200,1985-08-25,1985,183,85,대성초,동성중,동성고,한국,연세대-우리-히어로즈-경찰-넥센,2008,우리
삼성,임창용,투수,50000,1976-06-04,1976,180,75,대성초,진흥중,진흥고,한국,해태,,
두산,임태훈,투수,7500,1988-09-28,1988,182,83,역삼초,이수중,서울고,한국,(방송통신대),2007,두산
삼성,임현준,투수,3300,1988-12-21,1988,185,88,본리초,대구중,대구고,한국,경성대-삼성-상무,,
두산,장민익,투수,2700,1991-02-05,1991,207,99,순천북초,이수중,효천고,한국,,,
넥센,장시환,투수,3100,1987-11-01,1987,184,82,태안초,태안중,북일고,한국,현대-우리-히어로즈-상무,2008,넥센
삼성,장원삼,투수,75000,1983-06-09,1983,181,81,사파초,신월중,용마고,한국,경성대-현대-우리-히어로즈,2006,현대
롯데,장원준,투수,32000,1985-07-31,1985,184,85,수영초,대동중,부산고,한국,(영남사이버대)-롯데-경찰,,
LG,장진용,투수,2400,1986-01-28,1986,187,92,가동초,배명중,배명고,한국,LG-상무,2004,LG
SK,전병두,투수,8000,1984-10-14,1984,181,77,중앙초,부산중,부산고,한국,(대불대)-두산-KIA,2003,두산
두산,전용훈,투수,2400,1995-03-20,1995,182,75,길동초,건대부중,덕수고,한국,,2014,두산
SK,전유수,투수,5000,1986-11-29,1986,185,95,여고초,사직중,경남상고,한국,현대-우리-히어로즈-경찰-넥센,2005,현대
한화,정광운,투수,2400,1991-04-21,1991,184,81,응암초,영남중,성남고,한국,홍익대,2014,한화
롯데,정대현,투수,50000,1978-11-10,1978,184,104,군산중앙초,군산중,군산상고,한국,경희대-SK,2001,SK
두산,정대현,투수,2700,1991-07-19,1991,186,93,서림초,청원중,성남고,한국,,2010,두산
한화,정대훈,투수,3300,1985-03-08,1985,185,83,하단초,경남중,경남상고,한국,동의대-한화-경찰,2008,한화
한화,정민혁,투수,3100,1983-09-14,1983,178,75,대전신흥초,충남중,대전고,한국,연세대,2007,한화
KIA,정용운,투수,2700,1990-07-06,1990,185,84,인헌초,선린중,충암고,한국,,,
한화,정재원,투수,3500,1984-08-11,1984,187,84,광주서림초,충장중,안산공고,한국,,2004,한화
두산,정재훈,투수,35000,1980-01-01,1980,179,81,역삼초,휘문중,휘문고,한국,성균관대,2003,두산
NC,정진,투수,2600,1979-08-06,1979,175,75,여문초,여수중,효천고,한국,동의대,2012,NC
LG,정찬헌,투수,3200,1990-01-26,1990,187,94,송정동초,충장중,광주제일고,한국,,2008,LG
롯데,정태승,투수,2500,1988-03-17,1988,180,83,길동초,춘천중,유신고,한국,성균관대,2012,롯데
LG,정혁진,투수,2400,1994-07-18,1994,189,95,온양온천초,온양중,북일고,한국,두산,2013,두산
LG,정현욱,투수,40000,1978-12-02,1978,187,102,장안초,건대부중,동대문상고,한국,삼성,1996,삼성
넥센,정회찬,투수,2400,1987-02-07,1987,194,105,우암초,청주중,청주기공고,한국,원광대-히어로즈-넥센-경찰,,
SK,제춘모,투수,3000,1982-04-05,1982,190,91,유안초,동성중,동성고,한국,,2002,SK
넥센,조덕길,투수,2400,1989-10-02,1989,185,88,영중초,신일중,신일고,한국,한양대,2013,넥센
넥센,조상우,투수,2800,1994-09-04,1994,186,97,서화초,상인천중,대전고,한국,,2013,넥센
한화,조영우,투수,2400,1995-06-27,1995,185,80,송정초,배재중,제주고,한국,,,
한화,조지훈,투수,2800,1994-04-06,1994,185,91,고명초,언북중,장충고,한국,,2013,한화
삼성,조현근,투수,4000,1985-11-21,1985,184,74,본리초,경복중,상원고,한국,두산-삼성-경찰,2005,두산
SK,진해수,투수,7500,1986-06-26,1986,187,85,동삼초,경남중,부경고,한국,KIA-상무-KIA,,
KIA,차명진,투수,2400,1995-03-03,1995,187,89,순천북초,순천이수중,효천고,한국,,2014,KIA
삼성,차우찬,투수,24000,1987-05-31,1987,185,80,군산초,군산남중,군산상고,한국,(대구사이버대),2006,삼성
NC,찰리,투수,3.00E+05,1985-10-25,1985,190,93,,,,미국,,,
SK,채병용,투수,13500,1982-04-25,1982,185,100,군산초,신월중,신일고,한국,,2001,SK
NC,최금강,투수,4000,1989-04-26,1989,195,95,서흥초,동산중,인천고,한국,인하대,2013,NC
롯데,최대성,투수,7500,1985-05-17,1985,182,80,동삼초,부산중,부산고,한국,,2004,롯데
LG,최동환,투수,2500,1989-09-19,1989,184,83,인헌초,선린중,경동고,한국,,2009,LG
두산,최병욱,투수,2400,1989-06-02,1989,181,88,동천초,경주중,경주고,한국,동국대,2014,두산
KIA,최영필,투수,7000,1974-05-13,1974,184,92,신곡초,수원북중,유신고,한국,경희대-현대-한화-SK,1997,현대
한화,최영환,투수,2400,1992-02-20,1992,181,88,감천초,대동중,개성고,한국,동아대,2014,한화
KIA,최현정,투수,2400,1992-12-03,1992,178,75,유천초,한밭중,대전고,한국,두산,,
두산,최현진,투수,2500,1992-09-24,1992,183,86,지도초(고양리틀),충암중,충암고,한국,두산-상무,,
한화,클레이,투수,250000,1988-02-15,1988,188,82,,,,미국,,,
한화,타투스코,투수,2.00E+05,1985-03-27,1985,196,92,,,,미국,,,
KIA,토마스,투수,160000,1984-01-18,1984,190,99,,,,미국,,,
LG,티포드,투수,4.00E+05,1984-05-15,1984,183,75,,,,미국,,,
넥센,하영민,투수,2400,1995-05-07,1995,180,68,수창초,진흥중,진흥고,한국,,2014,넥센
넥센,하해웅,투수,2400,1989-05-05,1989,172,80,금동초(김해리틀),내동중,김해고,한국,동국대,2013,넥센
KIA,한기주,투수,8000,1987-04-29,1987,186,90,수창초,동성중,동성고,한국,(광주대),,
KIA,한승혁,투수,3200,1993-01-03,1993,185,88,도신초,강남중,덕수고,한국,,2011,KIA
두산,한주성,투수,2400,1995-02-26,1995,184,90,양랑초,자양중,덕수고,한국,,2014,두산
넥센,한현희,투수,12500,1993-06-25,1993,182,95,동삼초,정남중,경남고,한국,,,
LG,한희,투수,3200,1989-11-11,1989,182,86,중앙초,군산남중,군산상고,한국,,2009,LG
두산,함덕주,투수,2500,1995-01-13,1995,181,78,일산초,원주중,원주고,한국,,2013,두산
SK,허건엽,투수,2800,1993-07-24,1993,178,88,도산초,포철중,포철고,한국,,2012,SK
한화,허유강,투수,3100,1986-11-16,1986,180,82,둔촌초,잠신중,경기고,한국,성균관대-한화-경찰,,
두산,허준혁,투수,3500,1985-12-15,1985,180,87,김해삼성초,김해내동중,용마고,한국,,2004,롯데
롯데,허준혁,투수,4700,1990-09-30,1990,183,82,백마초,홍은중,휘문고,한국,(영남사이버대)-롯데-SK,2009,롯데
KIA,홀튼,투수,250000,1979-08-12,1979,193,107,,,,미국,,,
두산,홍상삼,투수,16000,1990-02-13,1990,188,85,영일초,충암중,충암고,한국,,2008,두산
롯데,홍성민,투수,6000,1989-07-15,1989,189,73,노암초,경포중,강릉고,한국,한양대-KIA,2012,KIA
NC,홍성용,투수,2400,1986-11-18,1986,180,85,온양온천초,온양중,북일고,한국,,,
한화,황영국,투수,2400,1995-12-26,1995,185,83,우암초,청주중,청주고,한국,,2014,한화
한화,황재규,투수,3500,1986-04-16,1986,175,85,수유초,청원중,청원고,한국,성균관대,2009,한화
두산,김영은,투수,2400,1988-09-27,1988,188,92,청구초,성남중,경동고,한국,한양대,,
두산,정은재,투수,2400,1991-12-31,1991,192,92,화곡초,덕수중,선린인터넷고,한국,,,
두산,천영웅,투수,2400,1994-03-23,1994,178,76,서흥초,신흥중,인천고,한국,,2013,두산
롯데,강민호,포수,1.00E+05,1985-08-18,1985,186,100,제주신광초,포철중,포철공고,한국,(국제디지털대),2004,롯데
한화,김민수,포수,2400,1991-03-02,1991,177,80,옥산초,경복중,상원고,한국,영남대,2014,한화
롯데,김사훈,포수,2900,1987-06-18,1987,174,86,감천초,대신중,부산고,한국,한민대,2012,롯데
KIA,김상훈,포수,9000,1977-10-27,1977,180,92,광주중앙초,충장중,광주제일고,한국,고려대-해태,2000,해태
두산,김응민,포수,2400,1991-10-22,1991,178,90,이수초,건대부중,중앙고,한국,,2012,두산
LG,김재민,포수,3000,1991-01-28,1991,177,84,연천초(부산마린스리틀),사직중,경남고,한국,동아대,2013,LG
넥센,김재현,포수,2400,1993-03-18,1993,178,80,진북초,전라중,대전고,한국,,2012,넥센
두산,김재환,포수,2700,1988-09-22,1988,183,90,영랑초,상인천중,인천고,한국,두산-상무,2008,두산
SK,김정훈,포수,2400,1987-05-23,1987,182,93,수유초,신일중,신일고,한국,경희대,2010,SK
롯데,김준태,포수,2500,1994-07-31,1994,175,91,양정초,개성중,경남고,한국,(영남사이버대),2013,롯데
